company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised
Autodesk,"['SF Bay Area']",Other,250,0.02,2023-02-02,Post-IPO,"United States",NULL
Autodesk,"['SF Bay Area']",Other,1350,0.09,2025-02-27,Post-IPO,"United States",NULL
Autograph,"['Los Angeles']",Crypto,30,0.33,2023-05-04,"Series B","United States",205
AvantStay,"['Los Angeles']",Travel,37,NULL,2023-06-20,"Private Equity","United States",686
Avaya,['Durham'],Other,180,0.03,2024-08-01,Post-IPO,"United States",700
Avidbots,"['Kitchener', 'Non-U.S.']",Hardware,50,0.14,2023-03-14,"Series C",Canada,106
Avocargo,"['Berlin', 'Non-U.S.']",Transportation,16,1,2023-04-06,Seed,Germany,NULL
Away,"['New York City']",Retail,22,0.08,2023-05-31,"Series D","United States",181
"Axios Media","['Washington D.C.']",Media,50,0.1,2024-08-06,Acquired,"United States",57
"Babylon Health","['London', 'Non-U.S.']",Healthcare,94,NULL,2023-08-09,Post-IPO,"United Kingdom",1200
Bakkt,['Atlanta'],Crypto,28,NULL,2024-05-03,Post-IPO,"United States",932
Bandcamp,"['SF Bay Area']",Other,58,0.5,2023-10-16,Acquired,"United States",NULL
Bardee,"['Melbourne', 'Non-U.S.']",Food,30,NULL,2023-08-03,Seed,Australia,5
Bark,"['New York City']",Retail,126,0.12,2023-02-09,Post-IPO,"United States",NULL
"Basis Technologies",['Chicago'],Marketing,40,0.04,2023-02-21,"Series B","United States",52
